month,mrf-1,mrf-2,mrf-3,mrf-4,level-0,level-1,level-2,level-3,level-4
jan,800,600,400,300,7.28E-01,0.566,0.43,0.332,0.24087
feb,800,600,400,300,8.02E-01,0.6835,0.496,0.4023,0.24087
mar,800,700,300,300,8.80E-01,0.7935,0.617,0.468,0.24087
apr,800,700,300,300,9.46E-01,0.911,0.6978,0.538,0.24087
may,800,700,300,300,9.47E-01,0.912,0.776,0.5459,0.24087
jun,800,700,300,300,9.61E-01,0.926,0.873,0.5541,0.24087
jul,800,700,300,300,9.27E-01,0.873,0.838,0.562,0.24087
aug,800,700,300,300,8.78E-01,0.7725,0.7375,0.559,0.24087
sep,800,700,300,300,8.29E-01,0.672,0.637,0.556,0.24087
oct,800,700,300,300,7.81E-01,0.575,0.54,0.501,0.24087
nov,800,600,400,300,7.39E-01,0.5623,0.483,0.444,0.24087
dec,800,600,400,300,7.38E-01,0.55,0.4569,0.3889,0.24087
