date,lee
1903-05-28,1.150
1903-05-29,1.190
1903-05-30,1.000
1903-05-31,1.040
1903-06-01,1.070
1903-06-02,1.050
1903-06-03,0.958
1903-06-04,1.010
1903-06-05,0.928
1903-06-06,0.896
1903-06-07,0.828
1903-06-08,1.040
1903-06-09,1.180
1903-06-10,1.000
1903-06-11,1.090
1903-06-12,1.040
1903-06-13,1.080
1903-06-14,5.750
1903-06-15,46.700
1903-06-16,43.800
1903-06-17,37.200
1903-06-18,21.900
1903-06-19,17.300
1903-06-20,25.100
1903-06-21,17.000
1903-06-22,6.770
1903-06-23,5.240
1903-06-24,4.350
1903-06-25,3.260
1903-06-26,2.950
1903-06-27,2.790
1903-06-28,2.270
1903-06-29,2.420
1903-06-30,2.330
1903-07-01,2.170
1903-07-02,2.110
1903-07-03,2.040
1903-07-04,1.800
1903-07-05,1.410
1903-07-06,1.250
1903-07-07,1.790
1903-07-08,1.740
1903-07-09,1.730
1903-07-10,1.710
1903-07-11,1.630
1903-07-12,1.190
1903-07-13,1.600
1903-07-14,1.500
1903-07-15,1.540
1903-07-16,1.490
1903-07-17,1.560
1903-07-18,1.610
1903-07-19,1.430
1903-07-20,1.840
1903-07-21,1.660
1903-07-22,1.610
1903-07-23,2.150
1903-07-24,18.500
1903-07-25,9.310
1903-07-26,13.700
1903-07-27,15.800
1903-07-28,10.800
1903-07-29,7.970
1903-07-30,7.620
1903-07-31,7.390
1903-08-01,5.440
1903-08-02,3.260
1903-08-03,3.680
1903-08-04,3.200
1903-08-05,2.850
1903-08-06,2.500
1903-08-07,2.090
1903-08-08,2.170
1903-08-09,1.760
1903-08-10,2.150
1903-08-11,2.590
1903-08-12,11.200
1903-08-13,6.140
1903-08-14,4.700
1903-08-15,4.780
1903-08-16,3.680
1903-08-17,4.350
1903-08-18,4.700
1903-08-19,4.420
1903-08-20,4.340
1903-08-21,4.500
1903-08-22,4.350
1903-08-23,4.060
1903-08-24,5.480
1903-08-25,21.700
1903-08-26,20.100
1903-08-27,7.100
1903-08-28,5.150
1903-08-29,3.670
1903-08-30,3.250
1903-08-31,2.610
1903-09-01,2.550
1903-09-02,2.070
1903-09-03,2.160
1903-09-04,3.070
1903-09-05,21.000
1903-09-06,12.000
1903-09-07,6.010
1903-09-08,4.060
1903-09-09,4.320
1903-09-10,4.410
1903-09-11,7.100
1903-09-12,6.770
1903-09-13,4.370
1903-09-14,3.680
1903-09-15,3.240
1903-09-16,2.840
1903-09-17,2.780
1903-09-18,2.790
1903-09-19,2.820
1903-09-20,2.420
1903-09-21,2.830
1903-09-22,2.530
1903-09-23,2.150
1903-09-24,2.150
1903-09-25,2.250
1903-09-26,2.220
1903-09-27,2.190
1903-09-28,2.200
1903-09-29,2.530
1903-09-30,4.860
1903-10-01,4.800
1903-10-02,3.620
1903-10-03,3.370
1903-10-04,2.990
1903-10-05,5.580
1903-10-06,10.800
1903-10-07,8.810
1903-10-08,14.500
1903-10-09,27.000
1903-10-10,7.790
1903-10-11,24.200
1903-10-12,55.600
1903-10-13,47.100
1903-10-14,29.400
1903-10-15,19.100
1903-10-16,13.700
1903-10-17,7.130
1903-10-18,5.240
1903-10-19,4.580
1903-10-20,4.960
1903-10-21,7.140
1903-10-22,18.400
1903-10-23,18.900
1903-10-24,8.420
1903-10-25,13.300
1903-10-26,17.800
1903-10-27,23.800
1903-10-28,37.900
1903-10-29,36.100
1903-10-30,11.900
1903-10-31,8.390
1903-11-01,8.510
1903-11-02,7.860
1903-11-03,10.300
1903-11-04,8.140
1903-11-05,7.130
1903-11-06,6.250
1903-11-07,5.500
1903-11-08,4.860
1903-11-09,4.700
1903-11-10,4.870
1903-11-11,4.490
1903-11-12,4.490
1903-11-13,4.960
1903-11-14,4.880
1903-11-15,4.860
1903-11-16,4.890
1903-11-17,4.870
1903-11-18,4.680
1903-11-19,4.290
1903-11-20,4.490
1903-11-21,4.130
1903-11-22,3.740
1903-11-23,4.110
1903-11-24,4.050
1903-11-25,4.270
1903-11-26,3.680
1903-11-27,13.000
1903-11-28,43.800
1903-11-29,49.600
1903-11-30,22.400
1903-12-01,13.000
1903-12-02,7.750
1903-12-03,6.370
1903-12-04,7.360
1903-12-05,6.930
1903-12-06,5.980
1903-12-07,7.250
1903-12-08,13.000
1903-12-09,25.200
1903-12-10,34.200
1903-12-11,44.100
1903-12-12,21.400
1903-12-13,15.800
1903-12-14,13.500
1903-12-15,8.380
1903-12-16,8.140
1903-12-17,7.130
1903-12-18,6.730
1903-12-19,6.000
1903-12-20,5.490
1903-12-21,5.610
1903-12-22,5.600
1903-12-23,5.630
1903-12-24,5.450
1903-12-25,5.320
1903-12-26,5.300
1903-12-27,5.410
1903-12-28,5.310
1903-12-29,4.980
1903-12-30,5.170
1903-12-31,5.140
1904-01-01,5.250
1904-01-02,5.250
1904-01-03,4.770
1904-01-04,5.040
1904-01-05,4.610
1904-01-06,4.790
1904-01-07,4.780
1904-01-08,4.440
1904-01-09,4.790
1904-01-10,4.780
1904-01-11,5.690
1904-01-12,6.000
1904-01-13,13.200
1904-01-14,15.500
1904-01-15,10.600
1904-01-16,7.720
1904-01-17,6.020
1904-01-18,5.610
1904-01-19,5.510
1904-01-20,5.860
1904-01-21,6.280
1904-01-22,6.370
1904-01-23,6.260
1904-01-24,5.500
1904-01-25,5.610
1904-01-26,5.630
1904-01-27,6.010
1904-01-28,21.200
1904-01-29,10.600
1904-01-30,25.700
1904-01-31,41.000
1904-02-01,28.000
1904-02-02,32.800
1904-02-03,46.700
1904-02-04,39.000
1904-02-05,16.900
1904-02-06,15.600
1904-02-07,15.100
1904-02-08,22.100
1904-02-09,37.300
1904-02-10,50.500
1904-02-11,42.100
1904-02-12,31.300
1904-02-13,45.600
1904-02-14,23.300
1904-02-15,15.700
1904-02-16,15.600
1904-02-17,16.100
1904-02-18,15.700
1904-02-19,15.800
1904-02-20,15.400
1904-02-21,12.500
1904-02-22,8.520
1904-02-23,8.380
1904-02-24,8.240
1904-02-25,8.100
1904-02-26,8.110
1904-02-27,7.820
1904-02-28,7.410
1904-02-29,7.120
1904-03-01,7.120
1904-03-02,7.500
1904-03-03,8.100
1904-03-04,13.200
1904-03-05,8.100
1904-03-06,8.230
1904-03-07,8.240
1904-03-08,15.700
1904-03-09,12.600
1904-03-10,8.110
1904-03-11,7.480
1904-03-12,7.000
1904-03-13,6.990
1904-03-14,7.000
1904-03-15,6.890
1904-03-16,6.640
1904-03-17,6.770
1904-03-18,6.880
1904-03-19,7.000
1904-03-20,6.260
1904-03-21,6.620
1904-03-22,6.610
1904-03-23,6.320
1904-03-24,5.990
1904-03-25,5.990
1904-03-26,5.990
1904-03-27,5.680
1904-03-28,5.680
1904-03-29,6.580
1904-03-30,7.120
1904-03-31,7.860
1904-04-01,7.000
1904-04-02,6.750
1904-04-03,6.600
1904-04-04,5.660
1904-04-05,5.690
1904-04-06,5.790
1904-04-07,5.590
1904-04-08,5.780
1904-04-09,5.310
1904-04-10,4.860
1904-04-11,4.610
1904-04-12,4.620
1904-04-13,4.620
1904-04-14,4.620
1904-04-15,4.790
1904-04-16,4.620
1904-04-17,4.520
1904-04-18,4.680
1904-04-19,4.440
1904-04-20,3.880
1904-04-21,3.690
1904-04-22,3.750
1904-04-23,3.960
1904-04-24,4.180
1904-04-25,3.920
1904-04-26,4.060
1904-04-27,4.010
1904-04-28,4.050
1904-04-29,4.140
1904-04-30,4.070
1904-05-01,3.680
1904-05-02,4.400
1904-05-03,4.250
1904-05-04,4.410
1904-05-05,3.980
1904-05-06,4.070
1904-05-07,4.120
1904-05-08,3.750
1904-05-09,4.130
1904-05-10,4.400
1904-05-11,4.430
1904-05-12,4.320
1904-05-13,4.270
1904-05-14,4.050
1904-05-15,3.900
1904-05-16,3.920
1904-05-17,4.060
1904-05-18,4.070
1904-05-19,3.710
1904-05-20,3.590
1904-05-21,3.740
1904-05-22,3.760
1904-05-23,3.710
1904-05-24,3.540
1904-05-25,3.610
1904-05-26,3.900
1904-05-27,3.480
1904-05-28,3.480
1904-05-29,3.340
1904-05-30,3.480
1904-05-31,3.340
1904-06-01,3.680
1904-06-02,4.050
1904-06-03,3.560
1904-06-04,3.480
1904-06-05,3.250
1904-06-06,3.230
1904-06-07,3.110
1904-06-08,3.250
1904-06-09,3.280
1904-06-10,3.150
1904-06-11,3.280
1904-06-12,2.860
1904-06-13,2.940
1904-06-14,2.780
1904-06-15,3.010
1904-06-16,2.860
1904-06-17,2.840
1904-06-18,2.740
1904-06-19,2.480
1904-06-20,2.680
1904-06-21,2.680
1904-06-22,2.430
1904-06-23,2.380
1904-06-24,2.480
1904-06-25,2.430
1904-06-26,2.180
1904-06-27,2.260
1904-06-28,2.030
1904-06-29,2.060
1904-06-30,2.050
1904-07-01,2.160
1904-07-02,2.180
1904-07-03,1.770
1904-07-04,2.080
1904-07-05,2.040
1904-07-06,2.160
1904-07-07,1.800
1904-07-08,1.890
1904-07-09,1.770
1904-07-10,1.420
1904-07-11,1.750
1904-07-12,1.670
1904-07-13,1.720
1904-07-14,1.720
1904-07-15,1.690
1904-07-16,1.310
1904-07-17,1.210
1904-07-18,1.280
1904-07-19,1.300
1904-07-20,1.280
1904-07-21,1.230
1904-07-22,1.680
1904-07-23,1.350
1904-07-24,1.090
1904-07-25,1.680
1904-07-26,2.840
1904-07-27,2.780
1904-07-28,3.010
1904-07-29,2.520
1904-07-30,2.480
1904-07-31,2.790
1904-08-01,2.560
1904-08-02,2.250
1904-08-03,2.080
1904-08-04,1.740
1904-08-05,1.820
1904-08-06,1.700
1904-08-07,1.350
1904-08-08,1.700
1904-08-09,1.780
1904-08-10,1.730
1904-08-11,1.780
1904-08-12,1.710
1904-08-13,1.650
1904-08-14,1.320
1904-08-15,1.660
1904-08-16,1.700
1904-08-17,1.630
1904-08-18,1.570
1904-08-19,1.630
1904-08-20,1.610
1904-08-21,1.170
1904-08-22,1.980
1904-08-23,2.210
1904-08-24,2.200
1904-08-25,2.130
1904-08-26,2.050
1904-08-27,1.700
1904-08-28,1.160
1904-08-29,1.600
1904-08-30,1.570
1904-08-31,1.310
1904-09-01,2.500
1904-09-02,2.190
1904-09-03,2.120
1904-09-04,1.390
1904-09-05,1.700
1904-09-06,1.620
1904-09-07,1.700
1904-09-08,1.540
1904-09-09,1.580
1904-09-10,1.430
1904-09-11,1.250
1904-09-12,1.590
1904-09-13,1.540
1904-09-14,1.500
1904-09-15,1.420
1904-09-16,1.420
1904-09-17,1.100
1904-09-18,1.110
1904-09-19,1.300
1904-09-20,1.220
1904-09-21,1.250
1904-09-22,1.270
1904-09-23,1.210
1904-09-24,1.290
1904-09-25,1.280
1904-09-26,1.600
1904-09-27,1.600
1904-09-28,1.220
1904-09-29,1.240
1904-09-30,1.160
1904-10-01,1.180
1904-10-02,1.070
1904-10-03,1.660
1904-10-04,1.280
1904-10-05,1.190
1904-10-06,1.260
1904-10-07,1.540
1904-10-08,1.620
1904-10-09,0.846
1904-10-10,1.230
1904-10-11,1.250
1904-10-12,1.260
1904-10-13,1.260
1904-10-14,1.250
1904-10-15,1.230
1904-10-16,1.120
1904-10-17,1.650
1904-10-18,1.660
1904-10-19,1.560
1904-10-20,1.540
1904-10-21,1.260
1904-10-22,1.600
1904-10-23,1.350
1904-10-24,1.680
1904-10-25,1.720
1904-10-26,1.630
1904-10-27,1.600
1904-10-28,1.570
1904-10-29,1.280
1904-10-30,1.170
1904-10-31,1.390
1904-11-01,1.350
1904-11-02,1.310
1904-11-03,1.390
1904-11-04,1.320
1904-11-05,1.300
1904-11-06,1.040
1904-11-07,2.420
1904-11-08,3.440
1904-11-09,2.630
1904-11-10,1.880
1904-11-11,2.200
1904-11-12,2.110
1904-11-13,1.690
1904-11-14,1.730
1904-11-15,2.070
1904-11-16,1.700
1904-11-17,1.780
1904-11-18,1.690
1904-11-19,1.610
1904-11-20,1.300
1904-11-21,1.680
1904-11-22,1.660
1904-11-23,1.690
1904-11-24,1.580
1904-11-25,1.370
1904-11-26,1.330
1904-11-27,1.100
1904-11-28,1.630
1904-11-29,1.660
1904-11-30,1.370
1904-12-01,1.440
1904-12-02,1.370
1904-12-03,1.440
1904-12-04,1.080
1904-12-05,1.730
1904-12-06,2.620
1904-12-07,4.520
1904-12-08,3.260
1904-12-09,2.370
1904-12-10,2.370
1904-12-11,2.270
1904-12-12,3.530
1904-12-13,3.540
1904-12-14,3.270
1904-12-15,3.680
1904-12-16,3.400
1904-12-17,3.040
1904-12-18,2.320
1904-12-19,2.210
1904-12-20,2.120
1904-12-21,2.050
1904-12-22,2.100
1904-12-23,2.150
1904-12-24,1.830
1904-12-25,1.460
1904-12-26,2.080
1904-12-27,2.130
1904-12-28,2.230
1904-12-29,2.060
1904-12-30,2.150
1904-12-31,1.830
1905-01-01,1.330
1905-01-02,1.840
1905-01-03,1.740
1905-01-04,1.670
1905-01-05,2.180
1905-01-06,2.640
1905-01-07,3.000
1905-01-08,2.510
1905-01-09,2.420
1905-01-10,2.610
1905-01-11,2.430
1905-01-12,2.320
1905-01-13,2.360
1905-01-14,2.140
1905-01-15,1.460
1905-01-16,1.710
1905-01-17,2.730
1905-01-18,3.680
1905-01-19,3.160
1905-01-20,2.470
1905-01-21,2.140
1905-01-22,1.760
1905-01-23,2.190
1905-01-24,2.250
1905-01-25,2.210
1905-01-26,2.180
1905-01-27,1.830
1905-01-28,1.840
1905-01-29,1.500
1905-01-30,1.880
1905-01-31,2.190
1905-02-01,1.870
1905-02-02,1.850
1905-02-03,1.970
1905-02-04,1.770
1905-02-05,1.460
1905-02-06,1.850
1905-02-07,1.830
1905-02-08,2.180
1905-02-09,1.800
1905-02-10,1.700
1905-02-11,1.780
1905-02-12,1.440
1905-02-13,1.800
1905-02-14,1.810
1905-02-15,1.760
1905-02-16,1.810
1905-02-17,1.780
1905-02-18,1.680
1905-02-19,1.430
1905-02-20,1.760
1905-02-21,2.200
1905-02-22,2.010
1905-02-23,1.770
1905-02-24,1.750
1905-02-25,1.760
1905-02-26,2.180
1905-02-27,3.540
1905-02-28,2.890
1905-03-01,2.530
1905-03-02,2.470
1905-03-03,2.370
1905-03-04,2.010
1905-03-05,1.790
1905-03-06,2.240
1905-03-07,2.150
1905-03-08,2.000
1905-03-09,2.150
1905-03-10,2.290
1905-03-11,5.140
1905-03-12,7.980
1905-03-13,5.880
1905-03-14,20.900
1905-03-15,34.300
1905-03-16,31.600
1905-03-17,17.000
1905-03-18,8.430
1905-03-19,7.310
1905-03-20,5.520
1905-03-21,4.150
1905-03-22,3.480
1905-03-23,2.940
1905-03-24,2.870
1905-03-25,2.730
1905-03-26,2.510
1905-03-27,2.830
1905-03-28,2.570
1905-03-29,2.480
1905-03-30,2.270
1905-03-31,2.160
1905-04-01,2.090
1905-04-02,1.760
1905-04-03,2.150
1905-04-04,2.150
1905-04-05,2.050
1905-04-06,2.090
1905-04-07,2.150
1905-04-08,2.210
1905-04-09,2.120
1905-04-10,6.060
1905-04-11,16.000
1905-04-12,7.110
1905-04-13,4.470
1905-04-14,4.230
1905-04-15,3.620
1905-04-16,3.060
1905-04-17,3.060
1905-04-18,2.950
1905-04-19,2.850
1905-04-20,2.730
1905-04-21,2.580
1905-04-22,2.830
1905-04-23,2.260
1905-04-24,2.430
1905-04-25,2.570
1905-04-26,2.630
1905-04-27,2.420
1905-04-28,2.090
1905-04-29,2.140
1905-04-30,1.860
1905-05-01,2.200
1905-05-02,2.260
1905-05-03,2.480
1905-05-04,2.100
1905-05-05,2.040
1905-05-06,1.780
1905-05-07,1.720
1905-05-08,1.850
1905-05-09,1.850
1905-05-10,1.800
1905-05-11,1.770
1905-05-12,1.680
1905-05-13,1.620
1905-05-14,1.410
1905-05-15,1.730
1905-05-16,1.500
1905-05-17,1.440
1905-05-18,1.420
1905-05-19,1.340
1905-05-20,1.280
1905-05-21,0.959
1905-05-22,1.320
1905-05-23,1.200
1905-05-24,1.310
1905-05-25,1.170
1905-05-26,1.240
1905-05-27,1.180
